Product_ID,Product_Category,Launch_Region,Development_Cost,Launch_Marketing_Spend,Unit_Selling_Price,Unit_Production_Cost,First_Year_Units_Sold,Distribution_Coverage,Customer_Rating,First_Year_Profit,Unit_Margin,Margin_x_Units
PRD-3323,Outdoor Tech,Europe,162000.0,111000.0,181.44,79.92,8600.0,0.61,4.5,600072.0,101.52,873072.0
PRD-2833,Health & Fitness,Asia-Pacific,113000.0,94000.0,98.99,30.55,33000.0,0.78,4.8,2051520.0,68.44,2258520.0
PRD-2562,Smart Home,Europe,191000.0,116000.0,140.53,55.1,11300.0,0.81,4.3,658359.0000000001,85.43,965359.0000000001
PRD-1418,Home Automation,Europe,261000.0,192000.0,215.1,81.9,14500.0,0.77,4.6,1478399.9999999998,133.2,1931399.9999999998
PRD-1691,Consumer Electronics,North America,215000.0,162000.0,179.99,71.99,13100.0,0.84,4.1,1037800.0000000002,108.00000000000001,1414800.0000000002
PRD-2122,Wearable Tech,Asia-Pacific,272000.0,217000.0,266.97,103.88,13600.0,0.8,4.3,1729024.0000000005,163.09000000000003,2218024.0000000005
PRD-2958,Office Equipment,North America,89000.0,46000.0,62.57,24.96,15000.0,0.73,3.9,429150.0,37.61,564150.0
PRD-3318,Office Equipment,North America,74000.0,47000.0,60.63,22.8,19200.0,0.73,3.7,605336.0,37.83,726336.0
PRD-2591,Consumer Electronics,North America,258000.0,203000.0,185.99,79.19,16700.0,0.84,4.7,1322560.0000000002,106.80000000000001,1783560.0000000002
PRD-3191,Consumer Electronics,North America,260000.0,157000.0,203.99,83.99,12900.0,0.84,4.4,1131000.0000000002,120.00000000000001,1548000.0000000002
PRD-3475,Personal Audio,Latin America,67000.0,49000.0,48.99,18.5,15400.0,0.69,3.8,353546.00000000006,30.490000000000002,469546.00000000006
PRD-2998,Home Automation,Asia-Pacific,251000.0,174000.0,183.54,78.28,16300.0,0.74,4.5,1290737.9999999998,105.25999999999999,1715737.9999999998
PRD-2041,Smart Home,North America,357000.0,244000.0,290.16,101.85,28600.0,0.95,4.8,4784666.000000001,188.31000000000003,5385666.000000001
PRD-1855,Personal Audio,Latin America,81000.0,50000.0,50.49,20.17,16500.0,0.69,3.6,369280.0,30.32,500280.0
PRD-1681,Smart Home,North America,316000.0,238000.0,298.53,111.3,21800.0,0.95,5.0,3527613.999999999,187.22999999999996,4081613.999999999
PRD-2981,Consumer Electronics,Europe,248000.0,167000.0,203.99,83.99,15800.0,0.84,4.3,1481000.0000000002,120.00000000000001,1896000.0000000002
PRD-2674,Personal Audio,Asia-Pacific,75000.0,60000.0,60.59,22.89,41600.0,0.82,5.0,1433320.0000000002,37.7,1568320.0000000002
PRD-1942,Wearable Tech,Asia-Pacific,297000.0,184000.0,244.51,98.0,18300.0,0.8,4.4,2200133.0,146.51,2681133.0
PRD-1559,Health & Fitness,Middle East,189000.0,78000.0,133.44,56.16,7700.0,0.6,3.5,375056.0,77.28,595056.0
PRD-2344,Personal Audio,Asia-Pacific,76000.0,63000.0,56.99,19.11,34400.0,0.82,5.0,1164072.0,37.88,1303072.0
PRD-3326,Gaming Gear,North America,368000.0,230000.0,324.57,133.65,21700.0,0.89,4.5,3544963.9999999995,190.92,4142963.9999999995
PRD-2941,Smart Home,North America,313000.0,227000.0,298.53,111.3,24200.0,0.95,4.3,3990965.999999999,187.22999999999996,4530965.999999999
PRD-2378,Home Automation,Europe,300000.0,207000.0,229.44,98.28,14700.0,0.77,4.8,1421052.0,131.16,1928052.0
PRD-2138,Home Automation,Europe,248000.0,204000.0,250.95,84.63,16500.0,0.77,4.2,2292280.0,166.32,2744280.0
PRD-2389,Smart Home,Middle East,182000.0,95000.0,201.48,90.64,8400.0,0.53,4.4,654055.9999999999,110.83999999999999,931055.9999999999
PRD-1708,Home Automation,Asia-Pacific,221000.0,169000.0,201.5,82.84,13600.0,0.74,4.3,1223776.0,118.66,1613776.0
PRD-2265,Personal Audio,Europe,105000.0,65000.0,77.55,27.56,30500.0,0.79,4.4,1354694.9999999998,49.989999999999995,1524694.9999999998
PRD-3420,Consumer Electronics,Latin America,159000.0,132000.0,155.19,64.48,7600.0,0.61,4.2,398396.0,90.71,689396.0
PRD-2786,Gaming Gear,North America,354000.0,258000.0,376.92,137.7,22100.0,0.89,4.8,4674762.000000001,239.22000000000003,5286762.000000001
PRD-1957,Office Equipment,Latin America,102000.0,56000.0,77.48,27.16,7100.0,0.6,3.7,199272.0000000001,50.32000000000001,357272.00000000006
PRD-2908,Home Automation,Asia-Pacific,225000.0,136000.0,195.51,76.0,18500.0,0.74,4.0,1849935.0,119.50999999999999,2210935.0
PRD-2018,Home Automation,Europe,264000.0,202000.0,236.61,87.36,17300.0,0.77,5.0,2116025.0,149.25,2582025.0
PRD-2909,Health & Fitness,Middle East,155000.0,94000.0,125.1,46.8,7300.0,0.6,4.3,322590.0,78.3,571590.0
PRD-1007,Gaming Gear,Asia-Pacific,210000.0,160000.0,179.99,68.0,22000.0,0.78,4.8,2093780.0,111.99000000000001,2463780.0
PRD-2332,Wearable Tech,Asia-Pacific,286000.0,128000.0,266.97,103.88,17300.0,0.8,4.0,2330457.0000000005,163.09000000000003,2821457.0000000005
PRD-2337,Office Equipment,Europe,103000.0,64000.0,97.01,33.32,11600.0,0.78,4.5,571804.0,63.690000000000005,738804.0
PRD-2980,Health & Fitness,Latin America,119000.0,69000.0,109.45,33.84,13100.0,0.74,4.2,802491.0,75.61,990491.0
PRD-1882,Wearable Tech,Asia-Pacific,305000.0,213000.0,237.03,89.18,15300.0,0.8,4.8,1744105.0,147.85,2262105.0
PRD-2068,Home Automation,Asia-Pacific,251000.0,174000.0,195.51,76.0,17600.0,0.74,4.1,1678376.0,119.50999999999999,2103376.0
PRD-2416,Kitchen Appliances,Latin America,146000.0,74000.0,138.03,57.24,11400.0,0.69,3.9,701005.9999999999,80.78999999999999,921005.9999999999
PRD-1986,Gaming Gear,Middle East,215000.0,116000.0,195.69,72.72,6700.0,0.5,4.1,492899.0,122.97,823899.0
PRD-1126,Kitchen Appliances,Latin America,127000.0,98000.0,122.55,49.14,9700.0,0.69,3.7,487077.0,73.41,712077.0
PRD-1589,Health & Fitness,Middle East,119000.0,85000.0,150.12,53.04,5500.0,0.6,4.3,329940.0000000001,97.08000000000001,533940.0000000001
PRD-2380,Health & Fitness,Latin America,118000.0,128000.0,100.5,39.24,11300.0,0.74,3.8,509238.0,61.26,692238.0
PRD-3331,Smart Home,North America,301000.0,251000.0,265.05,95.55,22600.0,0.95,5.0,3278700.0,169.5,3830700.0
PRD-2579,Health & Fitness,Middle East,115000.0,72000.0,145.95,48.36,6200.0,0.6,4.3,418057.9999999999,97.58999999999999,605057.9999999999
PRD-1545,Personal Audio,Europe,109000.0,83000.0,82.35,26.77,41000.0,0.79,4.8,2086780.0,55.58,2278780.0
PRD-2182,Wearable Tech,Asia-Pacific,263000.0,188000.0,274.45,92.12,16600.0,0.8,3.9,2575677.9999999995,182.32999999999998,3026677.9999999995
PRD-2382,Smart Home,Europe,207000.0,133000.0,158.47,63.8,14800.0,0.81,4.4,1061116.0,94.67,1401116.0
PRD-2737,Office Equipment,Latin America,95000.0,51000.0,75.25,30.52,6200.0,0.6,4.0,131326.0,44.730000000000004,277326.0
PRD-3177,Office Equipment,Europe,125000.0,128000.0,97.01,33.32,12400.0,0.78,4.4,595756.0000000001,63.690000000000005,789756.0000000001
PRD-2947,Office Equipment,Latin America,99000.0,47000.0,75.25,30.52,7800.0,0.6,3.7,202894.0000000001,44.730000000000004,348894.00000000006
PRD-1818,Office Equipment,North America,85000.0,49000.0,66.44,24.24,12800.0,0.73,3.8,406160.0,42.2,540160.0
PRD-3113,Outdoor Tech,Europe,211000.0,118000.0,181.44,79.92,10200.0,0.78,3.7,706504.0,101.52,1035504.0
PRD-1991,Consumer Electronics,North America,255000.0,194000.0,209.99,74.39,14300.0,0.84,4.3,1490080.0000000002,135.60000000000002,1939080.0000000002
PRD-1267,Office Equipment,Latin America,91000.0,57000.0,75.25,30.52,6900.0,0.78,3.9,160637.0,44.730000000000004,308637.0
PRD-2249,Health & Fitness,Middle East,116000.0,77000.0,137.61,49.92,7800.0,0.6,4.3,490982.0000000001,87.69000000000001,683982.0000000001
PRD-1143,Outdoor Tech,North America,187000.0,129000.0,180.15,70.4,12200.0,0.77,4.3,1022950.0,109.75,1338950.0
PRD-2305,Personal Audio,Latin America,76000.0,48000.0,45.99,19.06,18800.0,0.69,3.9,382284.00000000006,26.930000000000003,506284.00000000006
PRD-2273,Outdoor Tech,Europe,173000.0,150000.0,181.44,79.92,9700.0,0.61,3.8,661744.0,101.52,984744.0
PRD-2810,Consumer Electronics,Europe,423959.9999999991,272000.0,523.95,181.35,11800.0,0.86,5.0,3346680.0000000005,342.6,4042680.0000000005
PRD-1232,Wearable Tech,Europe,247000.0,182000.0,247.32,89.76,14600.0,0.77,4.1,1871376.0,157.56,2300376.0
PRD-1381,Smart Home,North America,267000.0,198000.0,256.68,108.15,30400.0,0.95,4.8,4050312.0,148.53,4515312.0
PRD-1645,Personal Audio,Latin America,77000.0,42010.0,50.49,20.17,20100.0,0.69,3.9,493432.0,30.32,609432.0
PRD-2784,Kitchen Appliances,North America,216000.0,128000.0,236.85,89.89,12900.0,0.83,5.0,1551783.9999999998,146.95999999999998,1895783.9999999998
PRD-2656,Kitchen Appliances,Latin America,129000.0,76000.0,126.42,54.0,10500.0,0.69,4.5,555410.0,72.42,760410.0
PRD-1235,Kitchen Appliances,Europe,276000.0,178000.0,271.95,92.07,14000.0,0.84,4.4,2064320.0,179.88,2518320.0
PRD-2299,Smart Home,Middle East,163000.0,102000.0,214.62,88.0,6400.0,0.53,3.9,545368.0,126.62,810368.0
PRD-2050,Health & Fitness,Latin America,119000.0,69000.0,94.53,32.76,9400.0,0.74,3.8,392638.0,61.77,580638.0
PRD-2396,Gaming Gear,North America,368000.0,230000.0,345.51,129.6,23400.0,0.89,5.0,4454294.0,215.91,5052294.0
PRD-2780,Consumer Electronics,Europe,368000.0,249000.0,464.07,193.05,10800.0,0.86,4.2,2310016.0,271.02,2927016.0
PRD-1743,Outdoor Tech,North America,189000.0,135000.0,159.75,60.8,14000.0,0.77,4.7,1061300.0,98.95,1385300.0
PRD-3375,Personal Audio,Europe,96000.0,77000.0,79.95,24.38,32200.0,0.79,4.7,1616354.0000000002,55.57000000000001,1789354.0000000002
PRD-2696,Gaming Gear,North America,315000.0,275000.0,324.57,133.65,16600.0,0.89,5.0,2579272.0,190.92,3169272.0
PRD-2462,Wearable Tech,Europe,289000.0,159000.0,219.84,95.04,14600.0,0.77,4.7,1374080.0,124.8,1822080.0
PRD-1084,Personal Audio,Asia-Pacific,77000.0,66000.0,56.99,19.11,46995.99999999991,0.82,4.7,1671452.0000000002,37.88,1780208.4799999967
PRD-2342,Wearable Tech,Europe,224000.0,158000.0,206.1,79.2,15400.0,0.77,4.4,1572259.9999999998,126.89999999999999,1954259.9999999998
PRD-2497,Office Equipment,Latin America,77000.0,50000.0,81.95,26.32,6900.0,0.6,3.5,256847.0,55.63,383847.0
PRD-3223,Health & Fitness,Asia-Pacific,108000.0,105000.0,88.19,32.5,31400.0,0.78,4.4,1535666.0,55.69,1748666.0
PRD-3364,Personal Audio,Asia-Pacific,85000.0,59000.0,62.39,20.37,42400.0,0.82,4.9,1637647.9999999998,42.019999999999996,1781647.9999999998
PRD-3249,Consumer Electronics,Asia-Pacific,323000.0,202000.0,319.0,112.24,18700.0,0.85,4.4,3341412.0,206.76,3866412.0
PRD-2663,Outdoor Tech,Europe,165000.0,124000.0,198.45,68.82,9200.0,0.61,4.5,903596.0,129.63,1192596.0
PRD-1062,Smart Home,Europe,158000.0,120000.0,153.99,58.58,11400.0,0.81,4.4,809674.0000000002,95.41000000000001,1087674.0000000002
PRD-2879,Health & Fitness,Middle East,136000.0,88000.0,137.61,49.92,6700.0,0.6,3.5,363523.0000000001,87.69000000000001,587523.0000000001
PRD-2896,Kitchen Appliances,Latin America,155000.0,77000.0,141.9,50.76,9500.0,0.69,4.0,633830.0000000001,91.14000000000001,865830.0000000001
PRD-2925,Personal Audio,Europe,103000.0,80000.0,87.15,25.97,28000.0,0.79,4.4,1530040.0000000002,61.18000000000001,1713040.0000000002
PRD-2250,Consumer Electronics,Latin America,180000.0,130000.0,145.59,66.34,9200.0,0.61,4.3,419100.0,79.25,729100.0
PRD-1269,Consumer Electronics,Asia-Pacific,343000.0,200000.0,338.14,134.2,23200.0,0.85,4.4,4188408.0,203.94,4731408.0
PRD-1436,Gaming Gear,North America,319000.0,288000.0,324.57,133.65,23200.0,0.89,5.0,3822344.0,190.92,4429344.0
PRD-1594,Personal Audio,Asia-Pacific,94000.0,55000.0,65.99,19.74,43300.0,0.82,4.6,1853625.0,46.25,2002625.0
PRD-2410,Health & Fitness,Latin America,100000.0,71000.0,91.54,37.08,12300.0,0.74,4.7,498858.0000000001,54.46000000000001,669858.0000000001
PRD-2383,Health & Fitness,Asia-Pacific,121000.0,98000.0,88.19,32.5,29700.0,0.78,4.5,1434993.0,55.69,1653993.0
PRD-2137,Office Equipment,Latin America,94000.0,48000.0,68.54,28.84,8100.0,0.6,3.6,179570.0,39.7,321570.0
PRD-1519,Smart Home,Middle East,177000.0,112000.0,221.19,95.92,7300.0,0.53,4.7,625471.0,125.27,914471.0
PRD-2508,Office Equipment,North America,70000.0,48000.0,68.37,26.4,13100.0,0.73,3.6,431807.0000000001,41.970000000000006,549807.0000000001
PRD-2044,Personal Audio,Asia-Pacific,88000.0,52000.0,60.59,22.89,46995.99999999991,0.82,4.9,1680910.0000000002,37.7,1771749.199999997
PRD-3327,Office Equipment,Europe,100000.0,75000.0,94.34,37.4,13000.0,0.78,4.5,565220.0000000001,56.940000000000005,740220.0000000001
PRD-3253,Health & Fitness,Asia-Pacific,125000.0,83000.0,98.99,30.55,22400.0,0.78,4.2,1325056.0,68.44,1533056.0
PRD-2671,Smart Home,North America,307000.0,205000.0,290.16,101.85,24400.0,0.95,5.0,4082764.000000001,188.31000000000003,4594764.000000001
PRD-2895,Personal Audio,Europe,89000.0,74000.0,77.55,27.56,39200.0,0.79,4.6,1796607.9999999998,49.989999999999995,1959607.9999999998
PRD-1954,Personal Audio,Asia-Pacific,79000.0,56000.0,64.19,22.26,37000.0,0.82,4.4,1416409.9999999998,41.92999999999999,1551409.9999999998
PRD-1677,Office Equipment,Europe,106000.0,71000.0,86.33,35.36,12600.0,0.78,4.5,465222.0,50.97,642222.0
PRD-3379,Smart Home,Middle East,177000.0,112000.0,240.9,82.72,6100.0,0.53,4.4,675898.0,158.18,964898.0
PRD-2415,Personal Audio,Europe,83000.0,71000.0,75.15,25.18,31900.0,0.79,4.5,1440043.0000000002,49.970000000000006,1594043.0000000002
PRD-2185,Personal Audio,Latin America,80000.0,48000.0,53.49,19.61,19800.0,0.69,3.6,542824.0,33.88,670824.0
PRD-2623,Health & Fitness,Asia-Pacific,107000.0,100000.0,98.99,30.55,26900.0,0.78,5.0,1634036.0,68.44,1841036.0
PRD-1333,Health & Fitness,Asia-Pacific,128000.0,97000.0,88.19,32.5,33300.0,0.78,4.9,1629477.0,55.69,1854477.0
PRD-2750,Consumer Electronics,Europe,423959.9999999991,304969.99999999936,508.98,204.75,9800.0,0.86,4.4,2231454.0,304.23,2981454.0
PRD-3272,Wearable Tech,Europe,224000.0,158000.0,240.45,81.84,14200.0,0.77,4.8,1870262.0,158.60999999999999,2252262.0
PRD-3489,Consumer Electronics,Asia-Pacific,284000.0,207000.0,290.29,130.54,25400.0,0.85,5.0,3566650.000000001,159.75000000000003,4057650.000000001
PRD-2983,Health & Fitness,Asia-Pacific,122000.0,103000.0,96.29,34.45,22700.0,0.78,4.9,1178768.0,61.84,1403768.0
PRD-1076,Gaming Gear,North America,382000.0,280000.0,335.04,145.8,17800.0,0.89,5.0,2706472.0,189.24,3368472.0
PRD-3115,Personal Audio,Latin America,80000.0,48000.0,50.49,20.17,18200.0,0.69,4.0,423824.0,30.32,551824.0
PRD-1838,Home Automation,Europe,289000.0,170000.0,215.1,81.9,15100.0,0.77,5.0,1552319.9999999998,133.2,2011319.9999999998
PRD-3054,Kitchen Appliances,North America,220000.0,142000.0,243.75,97.9,12800.0,0.83,4.4,1504880.0,145.85,1866880.0
PRD-2302,Wearable Tech,Asia-Pacific,246000.0,190000.0,237.03,89.18,15800.0,0.8,4.2,1900030.0,147.85,2336030.0
PRD-2915,Kitchen Appliances,Europe,223000.0,150000.0,271.95,92.07,15600.0,0.84,4.2,2433128.0,179.88,2806128.0
PRD-2928,Office Equipment,North America,78000.0,57000.0,68.37,26.4,13600.0,0.73,4.1,435792.0000000001,41.970000000000006,570792.0000000001
PRD-1252,Wearable Tech,Asia-Pacific,263000.0,188000.0,237.03,89.18,18000.0,0.78,4.6,2210300.0,147.85,2661300.0
PRD-1435,Personal Audio,Latin America,74000.0,42010.0,50.49,20.17,16000.0,0.69,4.2,370120.0,30.32,485120.0
PRD-2526,Gaming Gear,Middle East,222000.0,143000.0,207.09,70.56,6600.0,0.5,3.8,536098.0,136.53,901098.0
PRD-2946,Gaming Gear,Middle East,181000.0,127000.0,207.09,70.56,6800.0,0.5,4.3,620404.0,136.53,928404.0
PRD-2063,Outdoor Tech,Europe,163000.0,117000.0,181.44,79.92,7800.0,0.61,4.1,511856.0,101.52,791856.0
PRD-2629,Smart Home,Middle East,162000.0,97000.0,227.76,85.36,7600.0,0.53,3.9,823239.9999999998,142.39999999999998,1082239.9999999998
PRD-1696,Kitchen Appliances,Latin America,153000.0,95000.0,118.68,55.62,10400.0,0.69,4.3,407824.0000000001,63.06000000000001,655824.0000000001
PRD-2169,Consumer Electronics,Asia-Pacific,297000.0,253000.0,347.71,119.56,19600.0,0.85,5.0,3921740.0,228.14999999999998,4471740.0
PRD-2806,Kitchen Appliances,Latin America,140000.0,83000.0,122.55,49.14,10800.0,0.69,4.6,569828.0,73.41,792828.0
PRD-1522,Wearable Tech,Asia-Pacific,269000.0,207000.0,244.51,98.0,17800.0,0.8,3.9,2131878.0,146.51,2607878.0
PRD-1622,Wearable Tech,Europe,237000.0,201000.0,219.84,95.04,13800.0,0.77,4.8,1284240.0,124.8,1722240.0
PRD-2818,Home Automation,Asia-Pacific,200000.0,147000.0,207.48,73.72,14300.0,0.74,4.6,1565767.9999999998,133.76,1912767.9999999998
PRD-1240,Health & Fitness,Latin America,112000.0,69000.0,106.47,38.16,9700.0,0.74,3.7,481607.0,68.31,662607.0
PRD-1781,Consumer Electronics,North America,243000.0,205000.0,209.99,74.39,17100.0,0.84,4.6,1870760.0000000005,135.60000000000002,2318760.0000000005
PRD-2191,Smart Home,North America,285000.0,196000.0,281.79,114.45,29600.0,0.95,4.9,4472264.000000001,167.34000000000003,4953264.000000001
PRD-2903,Outdoor Tech,Europe,201000.0,126000.0,181.44,79.92,8300.0,0.61,4.0,515616.0,101.52,842616.0
PRD-2586,Gaming Gear,Middle East,216000.0,123000.0,172.89,77.04,5400.0,0.5,4.5,169004.99999999988,95.84999999999998,517589.9999999999
PRD-1015,Personal Audio,Latin America,70000.0,45000.0,49.99,18.5,19000.0,0.62,3.8,483310.0,31.490000000000002,598310.0
PRD-1473,Outdoor Tech,North America,185000.0,123000.0,154.65,68.48,14200.0,0.77,4.3,915614.0,86.17,1223614.0
PRD-1156,Kitchen Appliances,Latin America,147000.0,78000.0,138.03,57.24,10500.0,0.69,4.6,623294.9999999999,80.78999999999999,848294.9999999999
PRD-1740,Consumer Electronics,Latin America,198000.0,116000.0,155.19,64.48,10100.0,0.61,4.4,602170.9999999999,90.71,916170.9999999999
PRD-2188,Home Automation,Asia-Pacific,237000.0,175000.0,207.48,73.72,16800.0,0.74,4.4,1835168.0,133.76,2247168.0
PRD-1861,Smart Home,North America,288000.0,207000.0,265.05,95.55,25200.0,0.95,4.9,3776400.0,169.5,4271400.0
PRD-3338,Home Automation,Europe,253000.0,165000.0,243.78,95.55,14900.0,0.77,5.0,1790627.0000000005,148.23000000000002,2208627.0000000005
PRD-1996,Kitchen Appliances,Latin America,132000.0,84000.0,138.03,57.24,11100.0,0.69,4.5,680768.9999999999,80.78999999999999,896768.9999999999
PRD-1147,Office Equipment,Latin America,96000.0,56000.0,70.78,25.48,7300.0,0.6,3.6,178690.0,45.3,330690.0
PRD-2294,Wearable Tech,North America,342000.0,214000.0,287.04,124.2,19700.0,0.93,4.6,2651948.0000000005,162.84000000000003,3207948.0000000005
PRD-2472,Smart Home,Europe,171000.0,125000.0,149.5,53.36,13000.0,0.81,3.8,953820.0,96.14,1249820.0
PRD-2192,Wearable Tech,Europe,283000.0,196000.0,212.97,87.12,14800.0,0.77,4.3,1383580.0,125.85,1862580.0
PRD-3304,Personal Audio,Asia-Pacific,88000.0,68000.0,60.59,22.89,34900.0,0.82,4.2,1159730.0,37.7,1315730.0
PRD-1461,Health & Fitness,North America,170000.0,106000.0,123.59,42.42,24500.0,0.8,4.8,1712665.0,81.17,1988665.0
PRD-1314,Kitchen Appliances,North America,207000.0,144000.0,236.85,89.89,14300.0,0.83,5.0,1750527.9999999995,146.95999999999998,2101527.9999999995
PRD-3428,Home Automation,Europe,283000.0,209000.0,229.44,98.28,19600.0,0.77,4.4,2078736.0,131.16,2570736.0
PRD-2483,Outdoor Tech,Europe,182000.0,142000.0,181.44,79.92,8100.0,0.61,3.5,498312.0,101.52,822312.0
PRD-2066,Gaming Gear,North America,371000.0,243000.0,324.57,133.65,19900.0,0.89,5.0,3185307.9999999995,190.92,3799307.9999999995
PRD-1700,Consumer Electronics,Europe,423959.9999999991,304969.99999999936,508.98,204.75,11200.0,0.86,4.8,2636376.0,304.23,3407376.0
PRD-2414,Wearable Tech,North America,323000.0,216000.0,304.98,120.75,18700.0,0.93,4.9,2906101.0000000005,184.23000000000002,3445101.0000000005
PRD-2279,Health & Fitness,Middle East,135000.0,83000.0,125.1,46.8,5600.0,0.6,4.1,220480.0,78.3,438480.0
PRD-1961,Consumer Electronics,North America,220000.0,180000.0,185.99,79.19,12900.0,0.84,4.5,977720.0000000002,106.80000000000001,1377720.0000000002
PRD-2587,Office Equipment,Latin America,87000.0,63000.0,77.48,27.16,9000.0,0.6,3.9,302880.00000000006,50.32000000000001,452880.00000000006
PRD-1296,Gaming Gear,Middle East,191000.0,119000.0,189.99,66.24,6600.0,0.5,4.3,506750.0000000001,123.75000000000001,816750.0000000001
PRD-1491,Health & Fitness,North America,144000.0,114000.0,112.79,39.9,26700.0,0.8,4.6,1688163.0000000005,72.89000000000001,1946163.0000000005
PRD-1031,Consumer Electronics,North America,220000.0,180000.0,197.99,76.79,14100.0,0.84,4.1,1308920.0,121.2,1708920.0
PRD-1216,Kitchen Appliances,Latin America,143000.0,92000.0,141.9,50.76,8400.0,0.78,4.2,530576.0000000001,91.14000000000001,765576.0000000001
PRD-2738,Home Automation,Europe,250000.0,213000.0,222.27,90.09,19300.0,0.77,4.6,2088074.0,132.18,2551074.0
PRD-2454,Kitchen Appliances,North America,218000.0,135000.0,223.05,92.56,16300.0,0.83,5.0,1773987.0,130.49,2126987.0
PRD-3070,Health & Fitness,Latin America,98000.0,64000.0,103.48,34.92,11500.0,0.74,4.7,626440.0,68.56,788440.0
PRD-2020,Health & Fitness,Latin America,104000.0,63000.0,103.48,34.92,13000.0,0.74,4.0,724280.0,68.56,891280.0
PRD-2666,Gaming Gear,North America,375000.0,255000.0,355.98,141.75,23200.0,0.89,4.5,4340136.0,214.23000000000002,4970136.0
PRD-2167,Office Equipment,Latin America,78000.0,52000.0,77.48,27.16,8700.0,0.6,3.5,307784.00000000006,50.32000000000001,437784.00000000006
PRD-1482,Smart Home,Europe,176000.0,106000.0,153.99,58.58,11800.0,0.81,3.8,843838.0000000002,95.41000000000001,1125838.0000000002
PRD-2829,Consumer Electronics,Asia-Pacific,290000.0,230000.0,319.0,112.24,18100.0,0.85,5.0,3222356.0,206.76,3742356.0
PRD-1272,Smart Home,Europe,167000.0,113000.0,153.99,58.58,14100.0,0.81,4.1,1065281.0000000002,95.41000000000001,1345281.0000000002
PRD-3281,Consumer Electronics,North America,288000.0,200000.0,191.99,86.39,17000.0,0.84,4.5,1307200.0000000002,105.60000000000001,1795200.0000000002
PRD-3275,Kitchen Appliances,Europe,254000.0,155000.0,264.18,103.95,13600.0,0.84,4.0,1770128.0000000005,160.23000000000002,2179128.0000000005
PRD-2260,Health & Fitness,Europe,91000.0,65000.0,94.53,32.76,11900.0,0.74,4.6,579063.0,61.77,735063.0
PRD-2117,Gaming Gear,Asia-Pacific,221000.0,147000.0,188.99,63.24,22000.0,0.74,5.0,2398500.0,125.75,2766500.0
PRD-3325,Personal Audio,Latin America,66010.0,45000.0,50.49,20.17,22400.0,0.69,3.7,572168.0,30.32,679168.0
PRD-1379,Health & Fitness,Middle East,154000.0,128000.0,150.12,53.04,6800.0,0.6,3.5,416144.0000000001,97.08000000000001,660144.0000000001
PRD-3362,Wearable Tech,Europe,252000.0,200000.0,226.71,84.48,12200.0,0.77,4.2,1283206.0000000002,142.23000000000002,1735206.0000000002
PRD-2865,Personal Audio,Europe,105000.0,68000.0,84.75,29.15,36100.0,0.79,4.8,1834160.0,55.6,2007160.0
PRD-1239,Consumer Electronics,Asia-Pacific,297000.0,253000.0,299.86,115.9,21300.0,0.85,4.6,3368348.0,183.96,3918348.0
PRD-1089,Consumer Electronics,Asia-Pacific,373000.0,232000.0,309.43,126.88,20400.0,0.85,4.5,3119020.0,182.55,3724020.0
PRD-1783,Health & Fitness,Asia-Pacific,120000.0,93000.0,98.99,30.55,25200.0,0.78,5.0,1511688.0,68.44,1724688.0
PRD-2767,Office Equipment,Latin America,79000.0,55000.0,68.54,28.84,6800.0,0.6,3.8,135960.0,39.7,269960.0
PRD-1810,Health & Fitness,Latin America,99000.0,67000.0,103.48,34.92,10500.0,0.74,4.3,553880.0,68.56,719880.0
