Product_ID,Product_Category,Launch_Region,Development_Cost,Launch_Marketing_Spend,Unit_Selling_Price,Unit_Production_Cost,First_Year_Units_Sold,Distribution_Coverage,Customer_Rating,First_Year_Profit
PRD-1991,Consumer Electronics,North America,255000,194000,209.99,74.39,14300,0.84,4.3,1490080.0000000002
PRD-1267,Office Equipment,Latin America,91000,57000,75.25,30.52,6900,,3.9,160637
PRD-2249,Health & Fitness,Middle East,116000,77000,137.61,49.92,7800,0.6,4.3,490982.0000000001
PRD-1143,Outdoor Tech,North America,187000,129000,180.15,70.4,12200,0.77,4.3,1022950
PRD-2305,Personal Audio,Latin America,76000,48000,45.99,19.06,18800,0.69,3.9,382284.00000000006
PRD-2273,Outdoor Tech,Europe,173000,150000,181.44,79.92,9700,0.61,3.8,661744
PRD-2810,Consumer Electronics,Europe,424000,272000,523.95,181.35,11800,0.86,5,3346680.0000000005
PRD-1232,Wearable Tech,Europe,247000,182000,247.32,89.76,14600,0.77,4.1,1871376
PRD-1381,Smart Home,North America,267000,198000,256.68,108.15,30400,0.95,4.8,4050312
PRD-1645,Personal Audio,Latin America,77000,39000,50.49,20.17,20100,0.69,3.9,493432
PRD-2784,Kitchen Appliances,North America,216000,128000,236.85,89.89,12900,0.83,5,1551783.9999999998
PRD-2656,Kitchen Appliances,Latin America,129000,76000,126.42,54,10500,0.69,4.5,555410
PRD-1235,Kitchen Appliances,Europe,276000,178000,271.95,92.07,14000,0.84,4.4,2064320
PRD-2299,Smart Home,Middle East,163000,102000,214.62,88,6400,0.53,3.9,545368
PRD-2050,Health & Fitness,Latin America,119000,69000,94.53,32.76,9400,0.74,3.8,392638
PRD-2396,Gaming Gear,North America,368000,230000,345.51,129.6,23400,0.89,5,4454294
PRD-2780,Consumer Electronics,Europe,368000,249000,464.07,193.05,10800,0.86,4.2,2310016
PRD-1743,Outdoor Tech,North America,189000,135000,159.75,60.8,14000,0.77,4.7,1061300
PRD-3375,Personal Audio,Europe,96000,77000,79.95,24.38,32200,0.79,4.7,1616354.0000000002
PRD-2696,Gaming Gear,North America,315000,275000,324.57,133.65,16600,0.89,5,2579272
PRD-2462,Wearable Tech,Europe,289000,159000,219.84,95.04,14600,0.77,4.7,1374080
PRD-1084,Personal Audio,Asia-Pacific,77000,66000,56.99,19.11,47900,0.82,4.7,1671452.0000000002
PRD-2342,Wearable Tech,Europe,224000,158000,206.1,79.2,15400,0.77,4.4,1572259.9999999998
PRD-2497,Office Equipment,Latin America,77000,50000,81.95,26.32,6900,0.6,3.5,256847
PRD-3223,Health & Fitness,Asia-Pacific,108000,105000,88.19,32.5,31400,0.78,4.4,1535666
PRD-3364,Personal Audio,Asia-Pacific,85000,59000,62.39,20.37,42400,0.82,4.9,1637647.9999999998
PRD-3249,Consumer Electronics,Asia-Pacific,323000,202000,319,112.24,18700,0.85,4.4,3341412
PRD-2663,Outdoor Tech,Europe,165000,124000,198.45,68.82,9200,0.61,4.5,903596
PRD-1062,Smart Home,Europe,158000,120000,153.99,58.58,11400,0.81,4.4,809674.0000000002
PRD-2879,Health & Fitness,Middle East,136000,88000,137.61,49.92,6700,0.6,3.5,363523.0000000001
PRD-2896,Kitchen Appliances,Latin America,155000,77000,141.9,50.76,9500,0.69,4,633830.0000000001
PRD-2925,Personal Audio,Europe,103000,80000,87.15,25.97,28000,0.79,4.4,1530040.0000000002
PRD-2250,Consumer Electronics,Latin America,180000,130000,145.59,66.34,9200,0.61,4.3,419100
PRD-1269,Consumer Electronics,Asia-Pacific,343000,200000,338.14,134.2,23200,0.85,4.4,4188408
PRD-1436,Gaming Gear,North America,319000,288000,324.57,133.65,23200,0.89,5,3822344
PRD-1594,Personal Audio,Asia-Pacific,94000,55000,65.99,19.74,43300,0.82,4.6,1853625
PRD-2410,Health & Fitness,Latin America,100000,71000,91.54,37.08,12300,0.74,4.7,498858.0000000001
PRD-2383,Health and Fitness,Asia-Pacific,121000,98000,88.19,32.5,29700,0.78,4.5,1434993
PRD-2137,Office Equipment,Latin America,94000,48000,68.54,28.84,8100,0.6,3.6,179570
PRD-1519,Smart Home,Middle East,177000,112000,221.19,95.92,7300,0.53,4.7,625471
PRD-2508,Office Equipment,North America,70000,48000,68.37,26.4,13100,0.73,3.6,431807.0000000001
PRD-2044,Personal Audio,Asia-Pacific,88000,52000,60.59,22.89,48300,0.82,4.9,1680910.0000000002
PRD-3327,Office Equipment,Europe,100000,75000,94.34,37.4,13000,0.78,4.5,565220.0000000001
PRD-3253,Health & Fitness,Asia-Pacific,125000,83000,98.99,30.55,22400,0.78,4.2,1325056
PRD-2671,Smart Home,North America,307000,205000,290.16,101.85,24400,0.95,5,4082764.000000001
PRD-2895,Personal Audio,Europe,89000,74000,77.55,27.56,39200,0.79,4.6,1796607.9999999998
PRD-1954,Personal Audio,Asia-Pacific,79000,56000,64.19,22.26,37000,0.82,4.4,1416409.9999999998
PRD-1677,Office Equipment,Europe,106000,71000,86.33,35.36,12600,0.78,4.5,465222
PRD-3379,Smart Home,Middle East,177000,112000,240.9,82.72,6100,0.53,4.4,675898
PRD-2415,Personal Audio,Europe,83000,71000,75.15,25.18,31900,0.79,4.5,1440043.0000000002
PRD-2185,Personal Audio,Latin America,80000,48000,53.49,19.61,19800,0.69,3.6,542824
PRD-2623,Health & Fitness,Asia-Pacific,107000,100000,98.99,30.55,26900,0.78,5,1634036
PRD-1333,Health & Fitness,Asia-Pacific,128000,97000,88.19,32.5,33300,0.78,4.9,1629477
PRD-2750,Consumer Electronics,Europe,436000,314000,508.98,204.75,9800,0.86,4.4,2231454
PRD-3272,Wearable Tech,Europe,224000,158000,240.45,81.84,14200,0.77,4.8,1870262
PRD-3489,Consumer Electronics,Asia-Pacific,284000,207000,290.29,130.54,25400,0.85,5,3566650.000000001
PRD-2983,Health & Fitness,Asia-Pacific,122000,103000,96.29,34.45,22700,0.78,4.9,1178768
PRD-1076,Gaming Gear,North America,382000,280000,335.04,145.8,17800,0.89,5,2706472
PRD-3115,Personal Audio,Latin America,80000,48000,50.49,20.17,18200,0.69,4,423824
PRD-1838,Home Automation,Europe,289000,170000,215.1,81.9,15100,0.77,5,1552319.9999999998
PRD-3054,Kitchen Appliances,North America,220000,142000,243.75,97.9,12800,0.83,4.4,1504880
PRD-2302,Wearable Tech,Asia-Pacific,246000,190000,237.03,89.18,15800,0.8,4.2,1900030
PRD-2915,Kitchen Appliances,Europe,223000,150000,271.95,92.07,15600,0.84,4.2,2433128
PRD-2928,Office Equipment,North America,78000,57000,68.37,26.4,13600,0.73,4.1,435792.0000000001
PRD-1252,Wearable Tech,Asia-Pacific,263000,188000,237.03,89.18,18000,,4.6,2210300
PRD-1435,Personal Audio,Latin America,74000,41000,50.49,20.17,16000,0.69,4.2,370120
PRD-2526,Gaming Gear,Middle East,222000,143000,207.09,70.56,6600,0.5,3.8,536098
PRD-2946,Gaming Gear,Middle East,181000,127000,207.09,70.56,6800,0.5,4.3,620404
PRD-2063,Outdoor Tech,Europe,163000,117000,181.44,79.92,7800,0.61,4.1,511856
PRD-2629,Smart Home,Middle East,162000,97000,227.76,85.36,7600,0.53,3.9,823239.9999999998
PRD-1696,Kitchen Appliances,Latin America,153000,95000,118.68,55.62,10400,0.69,4.3,407824.0000000001
PRD-2169,Consumer Electronics,Asia-Pacific,297000,253000,347.71,119.56,19600,0.85,5,3921740
PRD-2806,Kitchen Appliances,Latin America,140000,83000,122.55,49.14,10800,0.69,4.6,569828
PRD-1522,Wearable Tech,Asia-Pacific,269000,207000,244.51,98,17800,0.8,3.9,2131878
PRD-1622,Wearable Tech,Europe,237000,201000,219.84,95.04,13800,0.77,4.8,1284240
PRD-2818,Home Automation,Asia-Pacific,200000,147000,207.48,73.72,14300,0.74,4.6,1565767.9999999998
PRD-1240,Health & Fitness,Latin America,112000,69000,106.47,38.16,9700,0.74,3.7,481607
PRD-1781,Consumer Electronics,North America,243000,205000,209.99,74.39,17100,0.84,4.6,1870760.0000000005
PRD-2191,Smart Home,North America,285000,196000,281.79,114.45,29600,0.95,4.9,4472264.000000001
PRD-2903,Outdoor Tech,Europe,201000,126000,181.44,79.92,8300,0.61,4,515616
PRD-2586,Gaming Gear,Middle East,216000,123000,172.89,77.04,5300,0.5,4.5,169004.99999999988
PRD-1015,Personal Audio,Latin America,70000,45000,49.99,18.5,19000,0.62,3.8,483310
PRD-1473,Outdoor Tech,North America,185000,123000,154.65,68.48,14200,0.77,4.3,915614
PRD-1156,Kitchen Appliances,Latin America,147000,78000,138.03,57.24,10500,0.69,4.6,623294.9999999999
PRD-1740,Consumer Electronics,Latin America,198000,116000,155.19,64.48,10100,0.61,4.4,602170.9999999999
PRD-2188,Home Automation,Asia-Pacific,237000,175000,207.48,73.72,16800,0.74,4.4,1835168
PRD-1861,Smart Home,North America,288000,207000,265.05,95.55,25200,0.95,4.9,3776400
PRD-3338,Home Automation,Europe,253000,165000,243.78,95.55,14900,0.77,5,1790627.0000000005
PRD-1996,Kitchen Appliances,Latin America,132000,84000,138.03,57.24,11100,0.69,4.5,680768.9999999999
PRD-1147,Office Equipment,Latin America,96000,56000,70.78,25.48,7300,0.6,3.6,178690
PRD-2294,Wearable Tech,North America,342000,214000,287.04,124.2,19700,0.93,4.6,2651948.0000000005
PRD-2472,smart home,Europe,171000,125000,149.5,53.36,13000,0.81,3.8,953820
PRD-2192,Wearable Tech,Europe,283000,196000,212.97,87.12,14800,0.77,4.3,1383580
PRD-3304,Personal Audio,Asia-Pacific,88000,68000,60.59,22.89,34900,0.82,4.2,1159730
PRD-1461,Health & Fitness,North America,170000,106000,123.59,42.42,24500,0.8,4.8,1712665
PRD-1314,Kitchen Appliances,North America,207000,144000,236.85,89.89,14300,0.83,5,1750527.9999999995
PRD-3428,Home Automation,Europe,283000,209000,229.44,98.28,19600,0.77,4.4,2078736
PRD-2483,Outdoor Tech,Europe,182000,142000,181.44,79.92,8100,0.61,3.5,498312
PRD-2066,Gaming Gear,North America,371000,243000,324.57,133.65,19900,0.89,5,3185307.9999999995
PRD-1700,Consumer Electronics,Europe,460000,311000,508.98,204.75,11200,0.86,4.8,2636376
PRD-2414,Wearable Tech,North America,323000,216000,304.98,120.75,18700,0.93,4.9,2906101.0000000005
PRD-2279,Health & Fitness,Middle East,135000,83000,125.1,46.8,5600,0.6,4.1,220480
PRD-1961,Consumer Electronics,North America,220000,180000,185.99,79.19,12900,0.84,4.5,977720.0000000002
PRD-2587,Office Equipment,Latin America,87000,63000,77.48,27.16,9000,0.6,3.9,302880.00000000006
PRD-1296,Gaming Gear,Middle East,191000,119000,189.99,66.24,6600,0.5,4.3,506750.0000000001
PRD-1491,Health & Fitness,North America,144000,114000,112.79,39.9,26700,0.8,4.6,1688163.0000000005
PRD-1031,Consumer Electronics,North America,220000,180000,197.99,76.79,14100,0.84,4.1,1308920
PRD-1216,Kitchen Appliances,Latin America,143000,92000,141.9,50.76,8400,,4.2,530576.0000000001
PRD-2738,Home Automation,Europe,250000,213000,222.27,90.09,19300,0.77,4.6,2088074
PRD-2454,Kitchen Appliances,North America,218000,135000,223.05,92.56,16300,0.83,5,1773987
PRD-3070,Health & Fitness,Latin America,98000,64000,103.48,34.92,11500,0.74,4.7,626440
PRD-2020,Health & Fitness,Latin America,104000,63000,103.48,34.92,13000,0.74,4,724280
PRD-2666,Gaming Gear,North America,375000,255000,355.98,141.75,23200,0.89,4.5,4340136
PRD-2167,Office Equipment,Latin America,78000,52000,77.48,27.16,8700,0.6,3.5,307784.00000000006
PRD-1482,Smart Home,Europe,176000,106000,153.99,58.58,11800,0.81,3.8,843838.0000000002
PRD-2829,Consumer Electronics,Asia-Pacific,290000,230000,319,112.24,18100,0.85,5,3222356
PRD-1272,Smart Home,Europe,167000,113000,153.99,58.58,14100,0.81,4.1,1065281.0000000002
PRD-3281,Consumer Electronics,North America,288000,200000,191.99,86.39,17000,0.84,4.5,1307200.0000000002
PRD-3275,Kitchen Appliances,Europe,254000,155000,264.18,103.95,13600,0.84,4,1770128.0000000005
PRD-2260,Health & Fitness,,91000,65000,94.53,32.76,11900,0.74,4.6,579063
PRD-2117,Gaming Gear,Asia-Pacific,221000,147000,188.99,63.24,22000,0.74,5,2398500
PRD-3325,Personal Audio,Latin America,62000,45000,50.49,20.17,22400,0.69,3.7,572168
PRD-1379,Health & Fitness,Middle East,154000,,150.12,53.04,6800,0.6,3.5,416144.0000000001
PRD-3362,Wearable Tech,Europe,252000,200000,226.71,84.48,12200,0.77,4.2,1283206.0000000002
PRD-2865,Personal Audio,Europe,105000,68000,84.75,29.15,36100,0.79,4.8,1834160
PRD-1239,Consumer Electronics,Asia-Pacific,297000,253000,299.86,115.9,21300,0.85,4.6,3368348
PRD-1089,Consumer Electronics,Asia-Pacific,373000,232000,309.43,126.88,20400,0.85,4.5,3119020
PRD-1783,Health & Fitness,Asia-Pacific,120000,93000,98.99,30.55,25200,0.78,5,1511688
PRD-2767,Office Equipment,Latin America,79000,55000,68.54,28.84,6800,0.6,3.8,135960
PRD-1810,Health & Fitness,Latin America,99000,67000,103.48,34.92,10500,0.74,4.3,553880
PRD-3498,Office Equipment,North America,92000,56000,66.44,24.24,14700,0.73,3.6,472340
PRD-1601,Consumer Electronics,North America,265000,175000,191.99,86.39,15200,0.84,4.7,1165120.0000000002
PRD-1807,Office Equipment,Latin America,95000,51000,79.72,29.68,6800,0.6,3.6,194272
PRD-2266,Kitchen Appliances,Latin America,134000,,141.9,50.76,11000,0.69,3.8,775540.0000000001
PRD-2554,Personal Audio,Asia-Pacific,80000,59000,56.99,19.11,43700,0.82,4.8,1516356
PRD-3062,Wearable Tech,Europe,291000,168000,240.45,81.84,17000,0.77,4,2237369.9999999995
PRD-2718,Office Equipment,North America,74000,45000,68.37,26.4,16600,0.73,4.4,577702.0000000001
PRD-1730,Consumer Electronics,Europe,392000,246000,464.07,193.05,12200,0.86,4.6,2668444
PRD-3279,Consumer Electronics,Asia-Pacific,370000,221000,290.29,130.54,20600,,5,2699850.0000000005
PRD-2965,Personal Audio,Latin America,74000,44000,51.99,17.95,17500,0.69,3.9,477700.0000000001
PRD-1097,Gaming Gear,Asia-Pacific,197000,158000,172.79,73.44,17800,0.74,4.3,1413430
PRD-2179,Smart Home,Middle East,173000,101000,201.48,90.64,6800,0.53,4.7,479711.9999999999
PRD-1608,Office Equipment,North America,81000,52000,66.44,24.24,15800,0.73,4.1,533760
PRD-1140,Consumer Electronics,Latin America,196000,110000,174.39,60.76,8700,0.61,4,682581
PRD-2012,Wearable Tech,Europe,226000,166000,240.45,81.84,12900,0.77,4.4,1654068.9999999998
PRD-1446,Gaming Gear,Middle East,207000,131000,184.29,74.88,6800,0.5,4.4,405988
PRD-1190,Consumer Electronics,Europe,376000,277000,538.92,198.9,12400,0.86,4.9,3563248
PRD-3384,Kitchen Appliances,North America,218000,135000,209.25,95.23,15200,0.83,4.4,1380104
PRD-2636,Gaming Gear,North America,326000,235000,314.1,121.5,21300,0.89,4.7,3541380.0000000005
PRD-1912,Wearable Tech,Asia-Pacific,258000,169000,266.97,103.88,16800,0.8,4.6,2312912.0000000005
PRD-1631,Consumer Electronics,North America,223000,189000,215.99,81.59,16500,0.84,4.5,1805600
PRD-2124,Kitchen Appliances,North America,220000,142000,209.25,95.23,13900,0.83,5,1222878
PRD-2053,Health & Fitness,Asia-Pacific,122000,103000,82.79,33.48,24900,0.78,4.5,1002819.0000000002
PRD-1027,Office Equipment,Latin America,90000,55000,74.5,28,7600,0.59,3.7,208400
PRD-1625,Kitchen Appliances,Europe,266000,146000,240.87,98.01,13200,0.84,4,1473752.0000000002
PRD-1167,Office Equipment,Europe,117000,63000,91.67,34.34,14100,0.78,4.6,628353
PRD-1233,Outdoor Tech,North America,207000,120000,169.95,58.88,10500,0.77,4.8,839235
PRD-3436,Kitchen Appliances,Latin America,161000,94000,122.55,49.14,9300,0.69,3.7,427713
PRD-1841,Consumer Electronics,North America,235000,178000,215.99,81.59,13700,0.84,4.2,1428280
PRD-1328,Home Automation,,316000,205000,229.44,98.28,17000,0.77,4.1,1708720
PRD-2392,Wearable Tech,Asia-Pacific,277000,177000,274.45,92.12,13400,0.8,4.7,1989222
PRD-2352,smart home,Europe,182000,124000,140.53,55.1,13600,0.81,4.6,855848
PRD-1647,Office Equipment,Europe,124000,66000,94.34,37.4,11300,0.78,3.6,453422
PRD-3476,Gaming Gear,North America,396000,253000,314.1,121.5,22600,0.89,4.6,3703760.000000001
PRD-3260,Consumer Electronics,Europe,396000,260000,479.04,210.6,13100,0.86,4.3,2860564.000000001
PRD-3003,Outdoor Tech,North America,187000,129000,159.75,60.8,10300,0.77,4,703185
PRD-3149,Health & Fitness,Middle East,139000,96000,141.78,54.6,6700,0.6,3.8,349106
PRD-1806,Gaming Gear,Middle East,172000,135000,178.59,68.4,6000,0.5,4.2,354140
PRD-2255,Kitchen Appliances,Europe,228000,166000,240.87,98.01,11100,0.84,4.2,1191746.0000000002
PRD-3448,Home Automation,Asia-Pacific,235000,167000,207.48,73.72,18200,0.74,4.8,2032432
PRD-3309,Consumer Electronics,Asia-Pacific,314000,2868000,328.57,123.22,22600,0.85,5,4087910
PRD-2209,,Middle East,145000,110000,227.76,85.36,7400,0.53,4.5,798759.9999999998
PRD-2328,Office Equipment,North America,77000,55000,62.57,24.96,17600,0.73,3.7,529936
PRD-1195,Personal Audio,Latin America,60000,41000,54.99,17.39,17900,0.69,3.6,572040
PRD-2178,Office Equipment,North America,70000,50000,64.5,22.08,17000,0.73,3.6,601140
PRD-3291,,North America,149000,98000,119.99,38.64,28400,0.8,4.7,2063340
PRD-2599,Smart Home,Middle East,190000,122000,201.48,90.64,7000,0.53,4.1,463879.9999999999
PRD-1902,Smart Home,Europe,194000,128000,153.99,58.58,12100,0.81,4.3,832461.0000000002
PRD-1683,Outdoor Tech,North America,194000,115000,154.65,68.48,11900,0.77,4,716423
PRD-1273,Health & Fitness,Asia-Pacific,132000,82000,85.49,29.58,28300,0.78,4.2,1368253
PRD-2090,Consumer Electronics,Europe,444000,255000,449.1,175.5,10600,0.86,4.4,2201160.0000000005
PRD-1393,Health & Fitness,Asia-Pacific,125000,83000,90.89,35.43,26900,0.78,4.5,1283874
PRD-2735,Kitchen Appliances,Europe,245000,173000,248.64,106.92,13900,0.84,4.3,1551907.9999999995
PRD-1886,Gaming Gear,North America,403000,278000,366.45,125.55,17200,0.89,5,3462479.9999999995
PRD-3218,Home Automation,Europe,270000,163000,229.44,98.28,15800,0.77,4.7,1639328
PRD-2673,Outdoor Tech,North America,189000,135000,185.25,62.72,13100,0.77,4,1281143
PRD-2290,Health & Fitness,Latin America,106000,70000,106.47,38.16,12900,0.74,,705199
PRD-1398,Office Equipment,North America,77000,55000,66.44,24.24,18900,0.73,4.4,665580
PRD-1046,Gaming Gear,North America,333000,,366.45,125.55,24400,0.89,5,5284959.999999999
PRD-3026,Gaming Gear,North America,312000,263000,345.51,129.6,20100,0.89,5,3764791
PRD-1297,Office Equipment,Latin America,104000,61000,68.54,28.84,7600,0.6,3.7,136720
PRD-1288,Home Automation,Asia-Pacific,198000,140000,201.5,82.84,13100,0.74,4.9,1216446
PRD-1085,Kitchen Appliances,Europe,257000,163000,279.72,100.98,13500,0.84,4.3,1992990
PRD-2751,Health & Fitness,North America,143000,109000,112.79,39.9,28900,0.8,5,1854521.0000000005
PRD-3152,Wearable Tech,Europe,239000,156000,226.71,84.48,14900,0.77,,1724227.0000000005
PRD-2701,Smart Home,North America,350000,222000,265.05,95.55,26800,0.95,4.8,3970600
PRD-1726,Kitchen Appliances,Latin America,129000,76000,134.16,52.38,11200,0.69,4.1,710936
PRD-2752,Wearable Tech,Asia-Pacific,314000,182000,266.97,103.88,17800,0.8,4.5,2407002.0000000005
PRD-1778,Home Automation,Europe,297000,198000,258.12,92.82,19100,0.77,4.4,2662230
PRD-3280,Health & Fitness,Latin America,103000,60000,103.48,34.92,9400,0.74,4.4,481464
PRD-1651,Smart Home,North America,273000,220000,265.05,95.55,30200,0.95,5,4625900
PRD-2971,Smart Home,North America,357000,244000,273.42,105,26500,0.95,5,3862130
PRD-2374,Personal Audio,Asia-Pacific,88000,68000,64.19,22.26,38200,0.82,4.9,1445725.9999999998
PRD-2677,Office Equipment,Latin America,97000,59000,73.01,28,7900,0.6,3.5,199579.00000000006
PRD-2576,Gaming Gear,North America,336000,273000,376.92,137.7,17600,0.89,5,3601272.000000001
PRD-3417,Office Equipment,Europe,112000,70000,89,31.28,11000,0.78,3.9,452920
PRD-1940,Consumer Electronics,Europe,412000,316000,464.07,193.05,10100,0.86,4.3,2009302
PRD-2362,Wearable Tech,Asia-Pacific,238000,162000,244.51,98,18800,0.8,3.8,2354388
PRD-2087,Gaming Gear,Asia-Pacific,191000,184000,167.39,67.32,20000,0.74,4.3,1626399.9999999998
PRD-2243,Outdoor Tech,Europe,205000,139000,198.45,68.82,8900,0.61,4,809707
PRD-2917,Office Equipment,Latin America,86000,60000,81.95,26.32,7100,0.6,3.9,248973
